Agency,Station_ID,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,dist_cat
ABC,ABC_1,34.1198979,-119.4049393,230,11.4,OA Impacts,Offshore
ABC,ABC_2,34.0194511,-119.3083735,301,4.5,OA Impacts,Offshore
ABC,ABC_3,33.95766053,-119.1781939,731,16.3,OA Impacts,Offshore
ABC,ABC_4,33.935232,-119.036068,817,14.4,OA Impacts,Offshore
ABC,ABC_A001,34.138081,-119.212132,13,0.865,WQ,Nearshore
ABC,ABC_A002,34.132012,-119.218126,32,1.715,WQ,Mid-shelf
ABC,ABC_A003,34.125161,-119.224458,143,2.68,WQ,Offshore
ABC,ABC_A004,34.117883,-119.23106,219,3.725,WQ,Offshore
ABC,ABC_A005,34.110413,-119.237707,82,4.765,WQ,Mid-shelf
ABC,ABC_B001,34.136325,-119.201523,11,0.8,WQ,Nearshore
ABC,ABC_B002,34.129138,-119.208035,15,1.795,WQ,Mid-shelf
ABC,ABC_B003,34.122454,-119.214308,21,2.715,WQ,Mid-shelf
ABC,ABC_B004,34.11515,-119.220927,64,3.75,WQ,Mid-shelf
ABC,ABC_B005,34.107873,-119.227089,258,4.84,WQ,Offshore
ABC,ABC_C001,34.132179,-119.192064,12,0.755,WQ,Nearshore
ABC,ABC_C002,34.124922,-119.198634,16,1.74,WQ,Mid-shelf
ABC,ABC_C003,34.117716,-119.205188,22,2.735,WQ,Mid-shelf
ABC,ABC_C004,34.110515,-119.211638,28,3.74,WQ,Mid-shelf
ABC,ABC_C005,34.103261,-119.218082,35,4.73,WQ,Mid-shelf
ABC,ABC_D001,34.126674,-119.183273,11,0.725,WQ,Nearshore
ABC,ABC_D002,34.119997,-119.189477,16,1.675,WQ,Mid-shelf
ABC,ABC_D003,34.113029,-119.195943,22,2.665,WQ,Mid-shelf
ABC,ABC_D004,34.105505,-119.202504,29,3.705,WQ,Mid-shelf
ABC,ABC_D005,34.098363,-119.208956,37,4.7,WQ,Mid-shelf
ABC,ABC_E001,34.120332,-119.175354,11,0.835,WQ,Nearshore
ABC,ABC_E002,34.114238,-119.181209,16,1.68,WQ,Mid-shelf
ABC,ABC_E003,34.107623,-119.186815,22,2.58,WQ,Mid-shelf
ABC,ABC_E004,34.100469,-119.19352,31,3.59,WQ,Mid-shelf
ABC,ABC_E005,34.093656,-119.199672,38,4.53,WQ,Mid-shelf
