Agency,Station_ID,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,dist_cat
CLA,CLA_3201,33.85416,-118.40611,16,0.9,WQ,Nearshore
CLA,CLA_3202,33.84861,-118.41778,38,1.6,WQ,Mid-shelf
CLA,CLA_3203,33.84528,-118.42638,57,2.4,WQ,Mid-shelf
CLA,CLA_3204,33.83695,-118.44055,119,3.9,WQ,Offshore
CLA,CLA_3205,33.82388,-118.46361,202,5.7,WQ,Offshore
CLA,CLA_3206,33.8111,-118.49278,283,6.9,WQ,Offshore
CLA,CLA_3301,33.89305,-118.42721,8,1.6,WQ,Mid-shelf
CLA,CLA_3302,33.88916,-118.43638,15,2.2,WQ,Mid-shelf
CLA,CLA_3303,33.88555,-118.44666,26,3.1,WQ,Mid-shelf
CLA,CLA_3304,33.87945,-118.45695,48,4.1,WQ,Mid-shelf
CLA,CLA_3305,33.86833,-118.49333,72,7.6,WQ,Mid-shelf
CLA,CLA_3306,33.85111,-118.52721,90,11.2,WQ,Mid-shelf
CLA,CLA_3401,33.9025,-118.4325,7,2.7,WQ,Mid-shelf
CLA,CLA_3402,33.9,-118.44721,16,3.6,WQ,Mid-shelf
CLA,CLA_3403,33.9011,-118.46,31,4.7,WQ,Mid-shelf
CLA,CLA_3404,33.89693,-118.4686,41,5.3,WQ,Mid-shelf
CLA,CLA_3405,33.88721,-118.50638,57,8.6,WQ,Mid-shelf
CLA,CLA_3406,33.87916,-118.53555,63,11.3,WQ,Mid-shelf
CLA,CLA_3501,33.93138,-118.44805,8,3.5,WQ,Mid-shelf
CLA,CLA_3502,33.92776,-118.46026,16,3.8,WQ,Mid-shelf
CLA,CLA_3503,33.92388,-118.4725,31,4.4,WQ,Mid-shelf
CLA,CLA_3504,33.91666,-118.49416,46,6.1,WQ,Mid-shelf
CLA,CLA_3505,33.90916,-118.52526,59,8.6,WQ,Mid-shelf
CLA,CLA_3505B,33.90878,-118.52342,59,8.5,WQ,Mid-shelf
CLA,CLA_3506,33.9,-118.54971,73,11,WQ,Mid-shelf
CLA,CLA_3601,33.95973,-118.46625,9,0.9,WQ,Nearshore
CLA,CLA_3602,33.95555,-118.47776,17,2,WQ,Mid-shelf
CLA,CLA_3603,33.94943,-118.49026,31,3.3,WQ,Mid-shelf
CLA,CLA_3604,33.94026,-118.50976,44,5.4,WQ,Mid-shelf
CLA,CLA_3605,33.92776,-118.53555,63,8.2,WQ,Mid-shelf
CLA,CLA_3606,33.91666,-118.55833,125,10.6,WQ,Offshore
CLA,CLA_3701,33.9861,-118.4861,7,0.8,WQ,Nearshore
CLA,CLA_3702,33.98,-118.5,18,2.1,WQ,Mid-shelf
CLA,CLA_3703,33.97416,-118.51,29,3.2,WQ,Mid-shelf
CLA,CLA_3704,33.96666,-118.52555,43,4.8,WQ,Mid-shelf
CLA,CLA_3705,33.9536,-118.5536,67,7.7,WQ,Mid-shelf
CLA,CLA_3706,33.9425,-118.575,139,10,WQ,Offshore
CLA,CLA_3801,34.03333,-118.58333,6,0.4,WQ,Nearshore
CLA,CLA_3802,34.02583,-118.5875,11,1.2,WQ,Nearshore
CLA,CLA_3803,34.00583,-118.59721,46,3.6,WQ,Mid-shelf
CLA,CLA_3804,33.99333,-118.60416,64,4.7,WQ,Mid-shelf
CLA,CLA_3805,33.97221,-118.61416,150,7,WQ,Offshore
CLA,CLA_3806,33.9561,-118.6236,196,8.9,WQ,Offshore
CLA,CLA_3901,34.0275,-118.71666,9,0.6,WQ,Nearshore
CLA,CLA_3902,34.01943,-118.71666,14,1.2,WQ,Nearshore
CLA,CLA_3903,34.0111,-118.71666,24,2.1,WQ,Mid-shelf
CLA,CLA_3904,33.9975,-118.71666,68,3.5,WQ,Mid-shelf
CLA,CLA_3905,33.96026,-118.71666,399,7.7,WQ,Offshore
CLA,CLA_3906,33.94276,-118.71666,458,9.6,WQ,Offshore
CLA,CLA_4001,33.99527,-118.80526,69,0.6,WQ,Nearshore
CLA,CLA_4002,33.98833,-118.80526,113,1.3,WQ,Nearshore
CLA,CLA_4003,33.98055,-118.80526,199,2.2,WQ,Offshore
CLA,CLA_4004,33.95833,-118.80526,550,4.7,WQ,Offshore
CLA,CLA_4005,33.92805,-118.80526,685,8,WQ,Offshore
CLA,CLA_4006,33.9125,-118.80526,738,9.8,WQ,Offshore
CLA,CLA_5,33.97368541,-118.9126162,483,7.5,OA Impacts,Offshore
CLA,CLA_6,33.9643418,-118.7653046,452,5.6,OA Impacts,Offshore
CLA,CLA_7,33.89129311,-118.6510062,317,15.8,OA Impacts,Offshore
CLA,CLA_8,33.80393012,-118.5490934,413,11.5,OA Impacts,Offshore
