Agency,Station_ID,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,dist_cat
CSD,CSD_17,32.936947,-117.439508,668,15.9,OA Impacts,Offshore
CSD,CSD_18,32.818817,-117.456712,667,16.3,OA Impacts,Offshore
CSD,CSD_19,32.703722,-117.429378,513,16.1,OA Impacts,Offshore
CSD,CSD_20,32.58679,-117.3915026,159,16.2,OA Impacts,Offshore
CSD,CSD_F01,32.637683,-117.24031600000001,20,3,WQ,Mid-shelf
CSD,CSD_F02,32.756966,-117.272733,15,2,WQ,Mid-shelf
CSD,CSD_F03,32.781833,-117.272416,15,1.7,WQ,Mid-shelf
CSD,CSD_F04,32.594533,-117.26875,63,8.3,WQ,Mid-shelf
CSD,CSD_F05,32.611683,-117.26965,59,6.5,WQ,Mid-shelf
CSD,CSD_F06,32.630833,-117.2736,60,4.8,WQ,Mid-shelf
CSD,CSD_F07,32.651134,-117.279994,61,3.6,WQ,Mid-shelf
CSD,CSD_F08,32.67215,-117.283,42,3.4,WQ,Mid-shelf
CSD,CSD_F09,32.68555,-117.286316,38,3.1,WQ,Mid-shelf
CSD,CSD_F10,32.705419,-117.290658,43,3.2,WQ,Mid-shelf
CSD,CSD_F11,32.725544,-117.29463199999999,49,3.3,WQ,Mid-shelf
CSD,CSD_F12,32.746583,-117.302066,58,4.2,WQ,Mid-shelf
CSD,CSD_F13,32.765383,-117.3072,59,5,WQ,Mid-shelf
CSD,CSD_F14,32.781559,-117.311423,57,5.3,WQ,Mid-shelf
CSD,CSD_F15,32.5941,-117.28645,79,9,WQ,Mid-shelf
CSD,CSD_F16,32.611833,-117.290066,79,7.4,WQ,Mid-shelf
CSD,CSD_F17,32.630016,-117.294166,79,6.1,WQ,Mid-shelf
CSD,CSD_F18,32.649766,-117.298333,79,5.2,WQ,Mid-shelf
CSD,CSD_F19,32.66785,-117.306833,81,5.6,WQ,Mid-shelf
CSD,CSD_F20,32.685416,-117.310966,80,5.3,WQ,Mid-shelf
CSD,CSD_F21,32.7038,-117.318687,83,5.8,WQ,Mid-shelf
CSD,CSD_F22,32.72273,-117.320902,80,5.8,WQ,Mid-shelf
CSD,CSD_F23,32.741883,-117.330416,81,6.9,WQ,Mid-shelf
CSD,CSD_F24,32.761216,-117.33645,80,7.6,WQ,Mid-shelf
CSD,CSD_F25,32.77895,-117.343583,79,7.5,WQ,Mid-shelf
CSD,CSD_F26,32.593766,-117.3122,100,10.2,WQ,Mid-shelf
CSD,CSD_F27,32.611783,-117.321383,105,9.3,WQ,Offshore
CSD,CSD_F28,32.629287,-117.323721,103,8.3,WQ,Offshore
CSD,CSD_F29,32.647815,-117.32493,104,7.6,WQ,Offshore
CSD,CSD_F30,32.66567,-117.32483,101,7.3,WQ,Offshore
CSD,CSD_F31,32.684668,-117.328353,107,6.9,WQ,Offshore
CSD,CSD_F32,32.701416,-117.334166,116,7.2,WQ,Offshore
CSD,CSD_F33,32.720466,-117.339916,121,7.6,WQ,Offshore
CSD,CSD_F34,32.7389,-117.349366,114,8.5,WQ,Offshore
CSD,CSD_F35,32.7577,-117.363383,116,10,WQ,Offshore
CSD,CSD_F36,32.776783,-117.374566,142,10,WQ,Offshore
CSD,CSD_I1,32.473333,-117.277,49,3.5,WQ,Mid-shelf
CSD,CSD_I10,32.516667,-117.156,20,3.7,WQ,Mid-shelf
CSD,CSD_I11,32.513333,-117.137,8,2.8,WQ,Mid-shelf
CSD,CSD_I12,32.532833,-117.183,27,5.5,WQ,Mid-shelf
CSD,CSD_I13,32.5375,-117.212,37,8,WQ,Mid-shelf
CSD,CSD_I14,32.543,-117.184,27,5.4,WQ,Mid-shelf
CSD,CSD_I15,32.537833,-117.189,29,6.1,WQ,Mid-shelf
CSD,CSD_I16,32.537833,-117.183,27,5.5,WQ,Mid-shelf
CSD,CSD_I17,32.537833,-117.178,25,5.1,WQ,Mid-shelf
CSD,CSD_I18,32.536167,-117.161,19,3.5,WQ,Mid-shelf
CSD,CSD_I2,32.473333,-117.199,34,7.1,WQ,Mid-shelf
CSD,CSD_I20,32.557,-117.257,56,11.5,WQ,Mid-shelf
CSD,CSD_I21,32.560667,-117.227,39,8.7,WQ,Mid-shelf
CSD,CSD_I22,32.553333,-117.185,26,5,WQ,Mid-shelf
CSD,CSD_I23,32.550833,-117.165,19,3.4,WQ,Mid-shelf
CSD,CSD_I27,32.574167,-117.191,27,5.3,WQ,Mid-shelf
CSD,CSD_I28,32.593833,-117.264,56,8.2,WQ,Mid-shelf
CSD,CSD_I29,32.5945,-117.223,35,8,WQ,Mid-shelf
CSD,CSD_I3,32.467,-117.168,28,4.4,WQ,Mid-shelf
CSD,CSD_I30,32.595333,-117.197,27,6.1,WQ,Mid-shelf
CSD,CSD_I31,32.5955,-117.172,19,3.8,WQ,Mid-shelf
