Agency,Station_ID,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,dist_cat
LACSD,LACSD_10,33.666505,-118.502832,834,11.8,OA Impacts,Offshore
LACSD,LACSD_11,33.594089,-118.398321,875,15.2,OA Impacts,Offshore
LACSD,LACSD_12,33.556814,-118.275623,630,16.6,OA Impacts,Offshore
LACSD,LACSD_2501,33.72787,-118.12025,7,1.4,WQ,Nearshore
LACSD,LACSD_2502,33.69904,-118.12779,18,4.6,WQ,Mid-shelf
LACSD,LACSD_2503,33.67021,-118.13533,25,7.8,WQ,Mid-shelf
LACSD,LACSD_2504,33.64139,-118.14287,32,10.6,WQ,Mid-shelf
LACSD,LACSD_2505,33.61256,-118.15041,42,13.1,WQ,Mid-shelf
LACSD,LACSD_2506,33.58102,-118.15908,66,15.9,WQ,Mid-shelf
LACSD,LACSD_2601,33.72043,-118.18426,17,2,WQ,Mid-shelf
LACSD,LACSD_2602,33.69398,-118.1905,22,5,WQ,Mid-shelf
LACSD,LACSD_2603,33.66752,-118.19674,23,7.9,WQ,Mid-shelf
LACSD,LACSD_2604,33.64107,-118.20299,30,10.5,WQ,Mid-shelf
LACSD,LACSD_2605,33.61461,-118.20923,46,12.5,WQ,Mid-shelf
LACSD,LACSD_2606,33.58816,-118.21547,71,14.7,WQ,Mid-shelf
LACSD,LACSD_2701,33.70775,-118.24666,16,2.4,WQ,Mid-shelf
LACSD,LACSD_2702,33.68864,-118.25112,24,3.6,WQ,Mid-shelf
LACSD,LACSD_2703,33.66953,-118.25559,32,5.1,WQ,Mid-shelf
LACSD,LACSD_2704,33.65042,-118.26005,74,6.7,WQ,Mid-shelf
LACSD,LACSD_2705,33.63131,-118.26452,154,8.6,WQ,Offshore
LACSD,LACSD_2706,33.6122,-118.26898,98,10.5,WQ,Mid-shelf
LACSD,LACSD_2801,33.70288,-118.28438,13,0.5,WQ,Nearshore
LACSD,LACSD_2802,33.69327,-118.28908,25,1.4,WQ,Nearshore
LACSD,LACSD_2803,33.66845,-118.2968,135,4.1,WQ,Offshore
LACSD,LACSD_2804,33.65767,-118.30128,304,5.3,WQ,Offshore
LACSD,LACSD_2805,33.64854,-118.30404,499,6.4,WQ,Offshore
LACSD,LACSD_2806,33.63708,-118.30919,523,7.7,WQ,Offshore
LACSD,LACSD_2901,33.7143,-118.32345,21,0.3,WQ,Nearshore
LACSD,LACSD_2902,33.70693,-118.32983,38,1.2,WQ,Nearshore
LACSD,LACSD_2903,33.69847,-118.33568,71,2.3,WQ,Mid-shelf
LACSD,LACSD_2904,33.68783,-118.339,163,3.5,WQ,Offshore
LACSD,LACSD_2905,33.67094,-118.34618,454,5.4,WQ,Offshore
LACSD,LACSD_2906,33.65409,-118.3543,730,7.4,WQ,Offshore
LACSD,LACSD_3001,33.732170000000004,-118.3603,19,0.4,WQ,Nearshore
LACSD,LACSD_3002,33.72238,-118.36315,38,1.2,WQ,Nearshore
LACSD,LACSD_3003,33.71462,-118.36592,70,1.9,WQ,Mid-shelf
LACSD,LACSD_3004,33.70098,-118.37132,171,3.5,WQ,Offshore
LACSD,LACSD_3005,33.68492,-118.38107,588,5.5,WQ,Offshore
LACSD,LACSD_3006,33.66679,-118.39075,782,7.7,WQ,Offshore
LACSD,LACSD_3051,33.73632,-118.3943,36,0.5,WQ,Nearshore
LACSD,LACSD_3052,33.73315,-118.40043,57,0.4,WQ,Nearshore
LACSD,LACSD_3053,33.72995,-118.40247,70,0.8,WQ,Nearshore
LACSD,LACSD_3054,33.71893,-118.41098,192,2.3,WQ,Offshore
LACSD,LACSD_3055,33.70497,-118.42198,501,4.1,WQ,Offshore
LACSD,LACSD_3056,33.68966,-118.43313,815,6.1,WQ,Offshore
LACSD,LACSD_3101,33.771,-118.43017,29,0.5,WQ,Nearshore
LACSD,LACSD_3102,33.76498,-118.43538,43,1.3,WQ,Nearshore
LACSD,LACSD_3103,33.7573,-118.44105,79,2.3,WQ,Mid-shelf
LACSD,LACSD_3104,33.74527,-118.44977,203,3.2,WQ,Offshore
LACSD,LACSD_3105,33.72877,-118.46123,680,4.7,WQ,Offshore
LACSD,LACSD_3106,33.71254,-118.47551,778,6.6,WQ,Offshore
LACSD,LACSD_9,33.731735,-118.552292,730,12.4,OA Impacts,Offshore
