Agency,Station_ID,lat,lon,seafloor_depth_m,dist_to_coast_km,monitoring,dist_cat
OCSAN,OCSAN_0001,33.57762,-118.01613,56,7.9,WQ,Mid-shelf
OCSAN,OCSAN_0009,33.57272,-117.99183,59,7,WQ,Mid-shelf
OCSAN,OCSAN_13,33.544089,-118.145192,225,18.2,OA Impacts,Offshore
OCSAN,OCSAN_14,33.49027292,-118.0377884,486,16.4,OA Impacts,Offshore
OCSAN,OCSAN_15,33.42849801,-117.9106432,605,16.2,OA Impacts,Offshore
OCSAN,OCSAN_16,33.3421953,-117.8207463,643,16.2,OA Impacts,Offshore
OCSAN,OCSAN_1701,33.495,-117.74556,19,0.3,WQ,Nearshore
OCSAN,OCSAN_1702,33.48662,-117.75236,34,1.3,WQ,Nearshore
OCSAN,OCSAN_1703,33.47422,-117.75928,88,2.3,WQ,Mid-shelf
OCSAN,OCSAN_1704,33.46798,-117.76321,132,3,WQ,Offshore
OCSAN,OCSAN_1705,33.45728,-117.76926,278,4.3,WQ,Offshore
OCSAN,OCSAN_1706,33.4405,-117.7781,595,6,WQ,Offshore
OCSAN,OCSAN_1801,33.53158,-117.7832,24,1.2,WQ,Nearshore
OCSAN,OCSAN_1802,33.52622,-117.78572,36,1.7,WQ,Mid-shelf
OCSAN,OCSAN_1803,33.51946,-117.78956,53,2.5,WQ,Mid-shelf
OCSAN,OCSAN_1804,33.51018,-117.7954,112,3.1,WQ,Offshore
OCSAN,OCSAN_1805,33.4962,-117.80485,286,4.5,WQ,Offshore
OCSAN,OCSAN_1806,33.47678,-117.81578,590,6.5,WQ,Offshore
OCSAN,OCSAN_1901,33.56137,-117.82757,29,0.4,WQ,Nearshore
OCSAN,OCSAN_1902,33.55275,-117.8324,52,1.1,WQ,Nearshore
OCSAN,OCSAN_1903,33.54603,-117.83637,96,1.6,WQ,Mid-shelf
OCSAN,OCSAN_1904,33.52978,-117.84557,335,3.5,WQ,Offshore
OCSAN,OCSAN_1905,33.5135,-117.85475,506,5.4,WQ,Offshore
OCSAN,OCSAN_1906,33.49715,-117.86403,548,7.4,WQ,Offshore
OCSAN,OCSAN_2001,33.58892,-117.8782,32,0.6,WQ,Nearshore
OCSAN,OCSAN_2002,33.57925,-117.8838,71,1.8,WQ,Mid-shelf
OCSAN,OCSAN_2003,33.57608,-117.88573,87,2.2,WQ,Mid-shelf
OCSAN,OCSAN_2004,33.55982,-117.89513,293,4.1,WQ,Offshore
OCSAN,OCSAN_2005,33.54355,-117.90438,395,5.9,WQ,Offshore
OCSAN,OCSAN_2006,33.52745,-117.91373,437,7.8,WQ,Offshore
OCSAN,OCSAN_2021,33.59618,-117.89803,31,2.2,WQ,Mid-shelf
OCSAN,OCSAN_2022,33.58805,-117.9027,62,2.7,WQ,Mid-shelf
OCSAN,OCSAN_2023,33.57993,-117.90737,112,3.4,WQ,Offshore
OCSAN,OCSAN_2024,33.56352,-117.91718,283,4.8,WQ,Offshore
OCSAN,OCSAN_2025,33.54752,-117.92655,359,6.5,WQ,Offshore
OCSAN,OCSAN_2026,33.53167,-117.93582,403,8.3,WQ,Offshore
OCSAN,OCSAN_2041,33.59944,-117.9097,30,1.9,WQ,Mid-shelf
OCSAN,OCSAN_2042,33.59012,-117.91584,64,2.1,WQ,Mid-shelf
OCSAN,OCSAN_2043,33.58184,-117.92168,122,2.7,WQ,Offshore
OCSAN,OCSAN_2044,33.5659,-117.93196,254,4.4,WQ,Offshore
OCSAN,OCSAN_2045,33.55042,-117.942,325,6.3,WQ,Offshore
OCSAN,OCSAN_2046,33.53484,-117.95256,376,8.2,WQ,Offshore
OCSAN,OCSAN_2101,33.60305,-117.92915,26,0.3,WQ,Nearshore
OCSAN,OCSAN_2102,33.59385,-117.93677,43,1.5,WQ,Mid-shelf
OCSAN,OCSAN_2103,33.58482,-117.94463,79,2.8,WQ,Mid-shelf
OCSAN,OCSAN_2104,33.56998,-117.9569,161,4.8,WQ,Offshore
OCSAN,OCSAN_2105,33.55515,-117.96917,235,6.8,WQ,Offshore
OCSAN,OCSAN_2106,33.54033,-117.98142,308,8.8,WQ,Offshore
OCSAN,OCSAN_2181,33.61462,-117.94587,10,0.7,WQ,Nearshore
OCSAN,OCSAN_2182,33.60453,-117.9544,19,2.1,WQ,Mid-shelf
OCSAN,OCSAN_2183,33.59502,-117.9624,36,3.4,WQ,Mid-shelf
OCSAN,OCSAN_2184,33.58018,-117.97467,64,5.1,WQ,Mid-shelf
OCSAN,OCSAN_2185,33.56537,-117.98692,126,7,WQ,Offshore
OCSAN,OCSAN_2186,33.55053,-117.99918,240,9,WQ,Offshore
OCSAN,OCSAN_2201,33.62488,-117.96385,6,2.2,WQ,Mid-shelf
OCSAN,OCSAN_2202,33.61502,-117.9719,14,2.9,WQ,Mid-shelf
OCSAN,OCSAN_2203,33.60522,-117.98017,25,4,WQ,Mid-shelf
OCSAN,OCSAN_2204,33.59038,-117.99243,39,5.8,WQ,Mid-shelf
OCSAN,OCSAN_2205,33.57557,-118.0047,69,7.7,WQ,Mid-shelf
OCSAN,OCSAN_2206,33.56073,-118.01697,177,9.6,WQ,Offshore
OCSAN,OCSAN_2221,33.63498,-117.9818,6,1.4,WQ,Nearshore
OCSAN,OCSAN_2222,33.62537,-117.98957,14,2.2,WQ,Mid-shelf
OCSAN,OCSAN_2223,33.61557,-117.99785,21,3.4,WQ,Mid-shelf
OCSAN,OCSAN_2224,33.60058,-118.01013,31,5.3,WQ,Mid-shelf
OCSAN,OCSAN_2225,33.58577,-118.02243,50,7.2,WQ,Mid-shelf
OCSAN,OCSAN_2226,33.57095,-118.03472,137,9.2,WQ,Offshore
OCSAN,OCSAN_2301,33.64287,-118.00107,7,1,WQ,Nearshore
OCSAN,OCSAN_2302,33.63422,-118.00825,15,2,WQ,Mid-shelf
OCSAN,OCSAN_2303,33.62562,-118.0156,20,3.2,WQ,Mid-shelf
OCSAN,OCSAN_2304,33.61082,-118.0279,27,5.2,WQ,Mid-shelf
OCSAN,OCSAN_2305,33.596,-118.0402,41,7.1,WQ,Mid-shelf
OCSAN,OCSAN_2306,33.58118,-118.05248,116,9.1,WQ,Offshore
OCSAN,OCSAN_2349,33.65317,-118.01892,6,2.8,WQ,Mid-shelf
OCSAN,OCSAN_2350,33.64445,-118.0261,14,3.3,WQ,Mid-shelf
OCSAN,OCSAN_2351,33.63585,-118.03335,19,4.1,WQ,Mid-shelf
OCSAN,OCSAN_2352,33.62103,-118.04565,27,5.8,WQ,Mid-shelf
OCSAN,OCSAN_2353,33.60622,-118.05795,41,7.6,WQ,Mid-shelf
OCSAN,OCSAN_2354,33.5914,-118.07023,118,9.5,WQ,Offshore
OCSAN,OCSAN_2401,33.66533,-118.03505,7,1.4,WQ,Nearshore
OCSAN,OCSAN_2402,33.6557,-118.04322,15,2.7,WQ,Mid-shelf
OCSAN,OCSAN_2403,33.64608,-118.0512,20,3.9,WQ,Mid-shelf
OCSAN,OCSAN_2404,33.63125,-118.06347,28,5.9,WQ,Mid-shelf
OCSAN,OCSAN_2405,33.61643,-118.07573,40,7.9,WQ,Mid-shelf
OCSAN,OCSAN_2406,33.6016,-118.088,71,9.9,WQ,Mid-shelf
OCSAN,OCSAN_2451,33.69125,-118.06573,9,2,WQ,Mid-shelf
OCSAN,OCSAN_2452,33.67898,-118.0764,15,3.5,WQ,Mid-shelf
OCSAN,OCSAN_2453,33.66645,-118.08673,20,5.2,WQ,Mid-shelf
OCSAN,OCSAN_2454,33.65163,-118.0991,27,6.8,WQ,Mid-shelf
OCSAN,OCSAN_2455,33.63683,-118.11125,33,8.6,WQ,Mid-shelf
OCSAN,OCSAN_2456,33.62197,-118.12352,39,10.5,WQ,Mid-shelf
OCSAN,OCSAN_9030,33.41795,-117.90582,613,17,WQ,Offshore
