Station_ID,Season,Date,Depth,Temperature,Salinity,Density,pH,Oxygen,Agency,Station,cast_id
CLA_5,Spring 2019,2019-05-14,1,16.32,33.617,24.612,8.21,254.679122949182,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,2,16.33,33.617,24.608,8.21,254.68011719917,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,3,16.31,33.617,24.613,8.21,254.373869747912,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,4,16.29,33.616,24.617,8.21,254.677880147613,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,5,16.28,33.617,24.62,8.21,254.37213191624,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,6,16.26,33.617,24.625,8.22,254.980892758225,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,7,16.24,33.617,24.629,8.22,254.97989735055,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,8,16.23,33.618,24.632,8.22,254.674151815683,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,9,16.19,33.616,24.641,8.22,254.671914868922,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,10,16.12,33.612,24.653,8.22,255.278917801037,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,11,16.03,33.609,24.671,8.22,255.884408166099,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,12,15.95,33.608,24.688,8.22,257.100092200477,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,13,15.87,33.608,24.707,8.22,257.400301740802,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,14,15.75,33.606,24.732,8.22,258.30892970404,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,15,15.62,33.6,24.758,8.22,259.522221861394,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,16,15.46,33.602,24.795,8.22,260.73265375709,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,17,15.33,33.603,24.823,8.23,261.94529863572,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,18,15.13,33.598,24.863,8.23,264.069586684348,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,19,15.03,33.595,24.884,8.23,264.064175865835,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,20,14.92,33.592,24.906,8.23,263.753590181823,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,21,14.83,33.589,24.921,8.23,263.444817092929,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,22,14.71,33.586,24.946,8.22,262.828580180149,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,23,14.67,33.589,24.957,8.22,261.606150369786,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,24,14.57,33.586,24.976,8.22,261.601300971501,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,25,14.46,33.585,24.998,8.22,260.376125795179,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,26,14.38,33.585,25.015,8.22,258.542497302645,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,27,14.16,33.577,25.054,8.22,257.922913753121,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,28,13.84,33.575,25.119,8.2,253.333748224791,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,29,13.59,33.573,25.17,8.19,246.919528023128,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,30,13.4,33.578,25.211,8.17,240.508291893563,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,31,13.35,33.578,25.222,8.17,232.27547791832,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,32,13.29,33.581,25.236,8.16,229.224113111987,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,33,13.26,33.585,25.246,8.16,227.088163032243,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,34,13.25,33.593,25.255,8.16,225.562101331091,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,35,13.21,33.598,25.265,8.16,224.645469261741,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,36,13.15,33.592,25.272,8.16,223.72950971554,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,37,13.06,33.583,25.284,8.15,222.202866024558,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,38,12.92,33.582,25.311,8.15,220.673029639959,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,39,12.77,33.593,25.349,8.14,217.007422899815,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,40,12.61,33.593,25.38,8.13,211.514885327871,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,41,12.4,33.582,25.413,8.12,207.241344754591,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,42,12.29,33.588,25.439,8.11,201.445669985479,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,43,12.24,33.591,25.449,8.11,196.567609776018,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,44,12.14,33.593,25.47,8.1,195.344585410056,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,45,12.09,33.597,25.483,8.1,192.599396116508,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,46,12.07,33.597,25.488,8.1,191.074735083977,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,47,11.94,33.597,25.512,8.1,190.765526110478,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,48,11.76,33.605,25.551,8.08,188.015740553032,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,49,11.75,33.605,25.554,8.08,182.530144482389,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,50,11.74,33.605,25.557,8.08,180.701267193686,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,51,11.68,33.609,25.569,8.08,180.089712189991,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,52,11.57,33.616,25.596,8.08,178.866121907865,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,53,11.34,33.637,25.653,8.06,176.113923219172,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,54,11.3,33.642,25.665,8.05,170.018026653658,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,55,11.22,33.659,25.693,8.04,166.661867046611,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,56,11.18,33.666,25.706,8.04,162.394239994684,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,57,11.05,33.673,25.735,8.03,159.647609621668,CLA,CLA_5,CLA_CLA_5_2019-05-14
CLA_5,Spring 2019,2019-05-14,58,10.99,33.675,25.747,8.03,158.122404705385,CLA,CLA_5,CLA_CLA_5_2019-05-14
