Station_ID,Season,Date,Depth,Temperature,Salinity,Density,pH,Oxygen,Agency,Station,cast_id
CSD_17,Spring 2019,2019-05-30,1,17.3,33.657,24.412,8.22,277.913745818681,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,2,17.3,33.657,24.413,8.23,278.218538715143,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,3,17.29,33.656,24.413,8.23,276.693217779205,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,4,17.29,33.656,24.413,8.23,276.388153592018,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,5,17.22,33.663,24.436,8.23,278.21229232553,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,6,17.01,33.664,24.487,8.23,281.553906308114,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,7,16.76,33.662,24.544,8.23,284.893519188014,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,8,16.52,33.656,24.596,8.23,290.064225264578,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,9,16.33,33.654,24.636,8.22,296.457855328297,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,10,16.11,33.645,24.682,8.24,302.239244679583,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,11,15.83,33.66,24.755,8.25,304.047488455193,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,12,15.16,33.677,24.917,8.27,321.684452248222,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,13,14.39,33.653,25.065,8.26,324.076968288261,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,14,13.97,33.647,25.147,8.23,298.748847536675,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,15,13.52,33.625,25.224,8.13,257.880145640652,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,16,13.38,33.614,25.243,8.04,231.356268577115,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,17,13.25,33.621,25.275,8.01,216.108662461617,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,18,13.05,33.628,25.321,7.98,206.345558016729,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,19,12.8,33.648,25.386,7.97,199.322659320405,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,20,12.56,33.647,25.431,7.95,192.913924239597,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,21,12.46,33.643,25.448,7.94,188.034625587941,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,22,12.39,33.643,25.462,7.94,184.984537260287,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,23,12.24,33.656,25.499,7.93,180.711487265571,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,24,12.03,33.651,25.537,7.92,174.61019455716,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,25,11.93,33.646,25.55,7.91,171.56072147011,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,26,11.86,33.643,25.562,7.9,170.644546839784,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,27,11.8,33.637,25.569,7.9,169.729221133375,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,28,11.76,33.634,25.574,7.9,168.814237130588,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,29,11.73,33.636,25.58,7.9,168.203815394789,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,30,11.73,33.635,25.579,7.9,168.203979403427,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,31,11.7,33.634,25.584,7.9,167.593727626609,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,32,11.7,33.636,25.586,7.9,166.983970252938,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,33,11.7,33.637,25.587,7.9,167.897952366204,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,34,11.66,33.643,25.598,7.9,166.372593040792,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,35,11.58,33.653,25.622,7.89,164.235767800539,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,36,11.44,33.654,25.648,7.89,163.622210743594,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,37,11.41,33.647,25.648,7.88,163.012817035051,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,38,11.36,33.67,25.676,7.88,159.656793037258,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,39,11.16,33.684,25.722,7.87,155.993534529832,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,40,11.12,33.674,25.722,7.86,154.470160169189,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,41,11.13,33.685,25.729,7.86,153.859760414965,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,42,11.05,33.686,25.744,7.85,152.334168754324,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,43,11.05,33.685,25.743,7.85,152.029648630842,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,44,11,33.692,25.756,7.84,150.199733231303,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,45,10.99,33.694,25.761,7.84,149.589674516802,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,46,10.98,33.695,25.762,7.84,149.284865692861,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,47,10.97,33.698,25.767,7.84,148.979476512357,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,48,10.94,33.702,25.775,7.84,146.845700713436,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,49,10.93,33.703,25.778,7.83,145.93129652981,CSD,CSD_17,CSD_CSD_17_2019-05-30
CSD_17,Spring 2019,2019-05-30,50,10.92,33.703,25.781,7.83,147.149499131407,CSD,CSD_17,CSD_CSD_17_2019-05-30
