Station_ID,Season,Date,Depth,Temperature,Salinity,Density,pH,Oxygen,Agency,Station,cast_id
LACSD_11,Spring 2019,2019-05-30,1,15.61,33.618,24.771,8.29,308.922063113547,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,2,15.49,33.619,24.799,8.28,321.111593889642,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,3,15.45,33.618,24.807,8.28,329.647600420193,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,4,15.24,33.616,24.857,8.24,334.205498163801,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,5,14.99,33.598,24.898,8.23,358.890634468997,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,6,14.52,33.606,25.002,8.21,363.73244246649,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,7,14.14,33.632,25.101,8.2,372.233379082005,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,8,13.92,33.634,25.147,8.19,376.789362811562,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,9,13.83,33.642,25.173,8.15,367.939503929278,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,10,13.81,33.635,25.173,8.12,356.050820703726,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,11,13.67,33.64,25.204,8.08,350.857964646138,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,12,13.62,33.628,25.205,8.05,336.225853625358,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,13,13.47,33.631,25.239,8.03,326.765332738134,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,14,13.39,33.64,25.263,7.98,307.859384744562,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,15,13.2,33.629,25.29,7.93,284.991034187551,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,16,13.04,33.643,25.334,7.91,275.530309291685,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,17,12.95,33.629,25.342,7.88,251.754712135562,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,18,12.55,33.639,25.428,7.85,238.933584653963,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,19,12.36,33.65,25.475,7.81,222.466227853739,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,20,12.03,33.62,25.511,7.78,207.221540333394,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,21,11.51,33.679,25.653,7.77,196.223817565998,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,22,11.39,33.684,25.681,7.75,169.710687424779,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,23,11.31,33.685,25.697,7.75,156.302018962908,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,24,11.18,33.688,25.723,7.74,151.423263821876,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,25,11.05,33.703,25.757,7.74,148.980928898024,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,26,11.03,33.706,25.764,7.73,143.191326678506,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,27,10.99,33.702,25.768,7.73,138.620850164178,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,28,10.9,33.704,25.785,7.73,137.704584365769,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
LACSD_11,Spring 2019,2019-05-30,29,10.84,33.707,25.798,7.72,132.82840244045,LACSD,LACSD_11,LACSD_LACSD_11_2019-05-30
