"","Agency","Station_ID","Date","n_field","n_missing","shallowest_missing","deepest_missing","pct_missing","missing_type","depth_padding"
"1","ABC","ABC_A004",2019-08-19,100,100,1,100,100,"entire_cast_missing",TRUE
"2","ABC","ABC_B003",2019-08-16,29,10,20,29,34.4827586206897,"partial_cast_missing",TRUE
"3","ABC","ABC_B003",2020-09-04,29,10,20,29,34.4827586206897,"partial_cast_missing",TRUE
"4","ABC","ABC_B003",2022-06-23,29,10,20,29,34.4827586206897,"partial_cast_missing",TRUE
"5","ABC","ABC_B003",2019-05-02,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"6","ABC","ABC_B003",2019-12-12,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"7","ABC","ABC_B003",2020-02-05,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"8","ABC","ABC_B003",2021-02-24,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"9","ABC","ABC_B003",2021-06-16,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"10","ABC","ABC_B003",2021-11-12,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"11","ABC","ABC_B003",2022-03-18,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"12","ABC","ABC_B003",2022-09-20,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"13","ABC","ABC_B003",2023-05-08,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"14","ABC","ABC_B003",2023-09-21,29,9,21,29,31.0344827586207,"partial_cast_missing",TRUE
"15","ABC","ABC_B003",2020-11-20,29,8,22,29,27.5862068965517,"partial_cast_missing",TRUE
"16","ABC","ABC_B003",2021-09-22,29,8,22,29,27.5862068965517,"partial_cast_missing",TRUE
"17","ABC","ABC_B003",2022-10-28,29,8,22,29,27.5862068965517,"partial_cast_missing",TRUE
"18","ABC","ABC_E001",2021-06-16,12,3,10,12,25,"partial_cast_missing",TRUE
"19","ABC","ABC_B003",2020-06-26,29,7,23,29,24.1379310344828,"partial_cast_missing",TRUE
"20","ABC","ABC_A005",2019-08-16,85,19,67,85,22.3529411764706,"partial_cast_missing",TRUE
"21","ABC","ABC_B003",2023-11-14,29,6,24,29,20.6896551724138,"partial_cast_missing",TRUE
"22","ABC","ABC_A005",2020-09-04,85,17,69,85,20,"partial_cast_missing",TRUE
"23","ABC","ABC_E002",2021-06-16,16,3,14,16,18.75,"partial_cast_missing",TRUE
"24","ABC","ABC_E002",2023-05-08,16,3,14,16,18.75,"partial_cast_missing",TRUE
"25","ABC","ABC_E001",2019-08-16,12,2,11,12,16.6666666666667,"partial_cast_missing",TRUE
"26","ABC","ABC_E001",2020-09-04,12,2,11,12,16.6666666666667,"partial_cast_missing",TRUE
"27","ABC","ABC_E001",2020-11-20,12,2,11,12,16.6666666666667,"partial_cast_missing",TRUE
"28","ABC","ABC_E001",2021-09-22,12,2,11,12,16.6666666666667,"partial_cast_missing",TRUE
"29","ABC","ABC_E001",2022-06-23,12,2,11,12,16.6666666666667,"partial_cast_missing",TRUE
"30","ABC","ABC_A002",2021-02-24,30,4,27,30,13.3333333333333,"partial_cast_missing",TRUE
"31","ABC","ABC_E002",2019-08-16,16,2,15,16,12.5,"partial_cast_missing",TRUE
"32","ABC","ABC_E002",2020-11-20,16,2,15,16,12.5,"partial_cast_missing",TRUE
"33","ABC","ABC_A001",2019-12-12,10,1,10,10,10,"partial_cast_missing",TRUE
"34","ABC","ABC_A001",2020-02-05,10,1,10,10,10,"partial_cast_missing",TRUE
"35","ABC","ABC_A001",2022-06-23,10,1,10,10,10,"partial_cast_missing",TRUE
"36","ABC","ABC_B001",2021-06-16,10,1,10,10,10,"partial_cast_missing",TRUE
"37","ABC","ABC_D001",2019-08-16,10,1,10,10,10,"partial_cast_missing",TRUE
"38","ABC","ABC_D001",2023-05-08,10,1,10,10,10,"partial_cast_missing",TRUE
"39","ABC","ABC_D003",2021-06-16,21,2,20,21,9.52380952380952,"partial_cast_missing",TRUE
"40","ABC","ABC_C001",2020-02-05,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"41","ABC","ABC_C001",2020-09-04,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"42","ABC","ABC_C001",2020-11-20,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"43","ABC","ABC_C001",2021-06-16,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"44","ABC","ABC_C001",2021-09-22,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"45","ABC","ABC_C001",2021-11-12,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"46","ABC","ABC_C001",2023-09-21,11,1,11,11,9.09090909090909,"partial_cast_missing",TRUE
"47","ABC","ABC_E003",2019-08-16,22,2,21,22,9.09090909090909,"partial_cast_missing",TRUE
"48","ABC","ABC_E003",2021-06-16,22,2,21,22,9.09090909090909,"partial_cast_missing",TRUE
"49","ABC","ABC_E001",2020-02-05,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"50","ABC","ABC_E001",2021-02-24,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"51","ABC","ABC_E001",2021-11-12,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"52","ABC","ABC_E001",2022-03-18,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"53","ABC","ABC_E001",2022-09-20,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"54","ABC","ABC_E001",2022-10-28,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
"55","ABC","ABC_E001",2023-05-08,12,1,12,12,8.33333333333333,"partial_cast_missing",TRUE
